Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2018,Freddie Freeman,ATL,94,420,362,114,70,25,3,16,59,61,53,9,79,3,2,0,4,6,2,0.314917127,5361
2018,Pablo Sandoval,SFG,81,225,204,51,36,7,0,8,20,35,18,2,48,2,1,0,7,0,0,0.25,5409
2018,Jose Altuve,HOU,99,434,389,129,95,23,2,9,63,44,39,3,53,2,1,3,10,14,2,0.331619537,5417
2018,Jose Pirela,SDP,96,369,341,89,65,19,2,3,45,27,24,1,68,2,2,0,8,4,3,0.260997067,5485
2018,Marwin Gonzalez,HOU,87,335,296,68,46,13,3,6,29,37,32,2,80,1,2,4,7,2,2,0.229729729,5497
2018,Matt Kemp,LAD,92,324,297,92,59,18,0,15,42,60,21,1,74,1,5,0,7,0,0,0.309764309,5631
2018,Devin Mesoraco,2 Tms,62,198,178,40,26,6,0,8,19,22,16,0,37,4,0,0,7,0,0,0.224719101,5666
2018,Hernan Perez,MIL,74,213,202,50,35,8,1,6,20,22,10,0,45,0,1,0,2,8,2,0.247524752,5751
2018,Wilmer Flores,NYM,75,236,213,58,34,16,0,8,22,30,17,0,21,1,5,0,4,0,0,0.272300469,5827
2018,Leury Garcia,CHW,56,193,183,53,42,5,2,4,18,21,6,0,46,3,0,1,1,10,0,0.289617486,5913
2018,Nick Markakis,ATL,94,419,371,120,80,29,1,10,55,61,42,7,46,1,5,0,14,1,1,0.323450134,5930
2018,Jean Segura,SEA,90,399,371,120,86,25,2,7,66,47,18,0,52,2,5,3,10,14,7,0.323450134,5933
2018,Didi Gregorius,NYY,90,389,346,91,54,18,2,17,58,52,34,3,50,2,7,0,3,10,6,0.26300578,6012
2018,Eduardo Escobar,MIN,90,376,343,93,42,35,2,14,41,57,27,5,86,3,3,0,7,1,3,0.271137026,6153
2018,J.D. Martinez,BOS,92,397,354,116,63,23,1,29,72,80,38,3,95,2,3,0,9,2,1,0.327683615,6184
2018,Ian Kinsler,LAA,82,354,324,71,45,15,0,11,37,26,24,0,34,4,2,0,10,8,4,0.219135802,6195
2018,Alcides Escobar,KCR,93,354,327,65,48,12,2,3,33,21,17,1,49,5,3,2,9,4,1,0.198776758,6310
2018,Danny Valencia,BAL,67,240,215,54,37,7,1,9,25,27,20,2,45,0,5,0,8,1,1,0.25116279,6364
2018,Adam Jones,BAL,92,394,378,104,68,26,0,10,38,36,11,0,61,3,2,0,15,1,0,0.275132275,6368
2018,Jordy Mercer,PIT,85,328,298,75,46,22,2,5,31,31,22,6,70,5,3,0,8,2,0,0.251677852,6547
2018,Freddy Galvis,SDP,99,392,355,81,58,16,3,4,31,33,30,1,87,2,4,1,5,4,5,0.228169014,6609
2018,Eduardo Nunez,BOS,81,326,310,79,58,15,0,6,36,24,11,0,52,2,2,1,13,4,2,0.254838709,6848
2018,Mark Trumbo,BAL,64,255,235,59,36,11,0,12,29,28,18,0,64,2,0,0,6,0,0,0.251063829,6876
2018,Ian Desmond,COL,94,370,332,78,45,11,4,18,52,56,32,0,95,4,2,0,8,11,4,0.234939759,6885
2018,Martin Maldonado,LAA,74,277,252,59,40,14,0,5,24,32,13,0,68,10,1,1,3,0,1,0.234126984,6887
2018,Yadier Molina,STL,64,251,230,63,43,7,0,13,26,41,13,0,36,3,5,0,7,2,1,0.273913043,7007
2018,Logan Forsythe,LAD,58,189,173,36,24,10,0,2,16,12,15,1,35,0,1,0,5,2,0,0.208092485,7185
2018,Matt Davidson,CHW,74,303,258,57,29,14,0,14,33,38,39,0,109,4,2,0,7,0,0,0.220930232,7226
2018,Carlos Gonzalez,COL,76,280,257,72,45,14,2,11,44,41,20,4,63,1,2,0,5,4,1,0.280155642,7287
2018,Salvador Perez,KCR,73,309,289,64,40,11,0,13,27,41,9,0,63,7,4,0,14,1,1,0.221453287,7304
2018,Ben Zobrist,CHC,75,292,249,71,52,12,1,6,41,36,38,1,35,2,3,0,4,2,2,0.285140562,7435
2018,Neil Walker,NYY,60,216,193,38,27,8,0,3,27,19,21,1,50,1,1,0,0,0,0,0.196891191,7539
2018,Miguel Rojas,MIA,93,351,319,81,65,9,0,7,27,34,19,2,47,8,3,2,17,6,1,0.253918495,7802
2018,Charlie Blackmon,COL,91,406,366,105,70,12,4,19,73,45,35,1,78,4,1,0,8,5,3,0.286885245,7859
2018,Jonathan Lucroy,OAK,73,277,253,61,46,13,1,1,23,27,19,1,42,2,2,1,6,0,0,0.241106719,7870
2018,Tim Beckham,BAL,43,177,165,34,24,8,0,2,13,8,11,0,49,0,1,0,6,1,1,0.206060606,7949
2018,Jose A. Martinez,STL,88,355,317,94,63,18,0,13,35,56,33,0,55,2,3,0,10,0,3,0.296529968,7996
2018,Hanley Ramirez,BOS,44,195,177,45,32,7,0,6,25,29,14,0,35,2,2,0,9,4,1,0.254237288,8001
2018,Matt Carpenter,STL,89,378,319,84,37,28,0,19,57,43,56,4,89,1,2,0,0,0,0,0.263322884,8090
2018,Josh Harrison,PIT,61,262,241,60,47,8,1,4,29,23,11,1,41,5,4,1,5,3,0,0.248962655,8202
2018,Dee Strange-Gordon,SEA,86,382,361,102,84,14,3,1,44,22,6,0,53,5,3,7,5,22,6,0.282548476,8203
2018,Kurt Suzuki,ATL,65,247,219,59,37,14,0,8,30,32,17,0,27,7,4,0,3,0,0,0.269406392,8259
2018,Chris Iannetta,COL,61,222,189,44,28,9,0,7,22,22,26,3,57,4,2,1,8,0,0,0.232804232,8267
2018,Denard Span,2 Tms,80,310,269,73,48,14,3,8,43,43,37,0,49,1,3,0,9,6,3,0.271375464,8347
2018,Daniel Descalso,ARI,87,277,228,59,30,16,4,9,32,44,40,1,69,2,7,0,1,0,1,0.258771929,8392
2018,Ehire Adrianza,MIN,66,216,195,51,32,14,1,4,25,19,16,2,51,1,1,3,3,4,0,0.261538461,8418
2018,Gerardo Parra,COL,84,299,276,82,62,15,0,5,38,41,16,1,49,3,3,1,4,7,3,0.297101449,8553
2018,Kendrys Morales,TOR,75,266,236,58,35,12,0,11,27,30,27,5,60,0,3,0,6,2,1,0.245762711,8610
2018,Justin Smoak,TOR,86,368,306,75,35,24,0,16,43,52,56,2,91,3,3,0,7,0,1,0.245098039,9054
2018,Lorenzo Cain,MIL,79,351,300,88,64,16,0,8,50,27,47,0,59,3,1,0,5,18,4,0.293333333,9077
2018,Khris Davis,OAK,87,373,330,82,41,19,1,21,51,64,31,1,100,8,4,0,11,0,0,0.248484848,9112
2018,Buster Posey,SFG,80,339,299,86,61,19,1,5,38,31,35,3,40,3,2,0,8,3,2,0.287625418,9166
2018,Logan Morrison,MIN,79,300,264,51,27,13,0,11,34,31,30,0,65,5,1,0,2,1,0,0.193181818,9205
2018,Paul Goldschmidt,ARI,95,417,356,100,56,19,4,21,61,52,56,5,110,5,0,0,1,3,2,0.280898876,9218
2018,Starling Marte,PIT,85,351,323,92,59,16,4,13,52,44,23,0,74,2,3,0,2,25,5,0.284829721,9241
2018,AJ Pollock,ARI,52,207,186,53,26,12,3,12,26,38,15,2,43,4,2,0,3,9,2,0.284946236,9256
2018,Chris Davis,BAL,80,323,292,46,30,7,0,9,18,28,26,2,116,3,2,0,5,1,0,0.157534246,9272
2018,Brock Holt,BOS,59,212,187,54,39,13,1,1,20,25,20,1,36,3,2,0,6,5,3,0.288770053,9345
2018,Evan Longoria,SFG,66,270,256,63,36,16,1,10,28,34,10,1,57,2,2,0,4,1,0,0.24609375,9368
2018,Matt Adams,WSN,68,213,191,55,32,8,0,15,32,39,20,0,44,2,0,0,6,0,0,0.287958115,9393
2018,Yan Gomes,CLE,69,271,247,61,34,17,0,10,34,32,17,2,81,5,2,0,3,0,0,0.246963562,9627
2018,Justin Bour,MIA,95,381,318,76,50,10,1,15,36,45,62,5,96,0,1,0,8,1,0,0.23899371,9744
2018,Christian Vazquez,BOS,59,218,207,44,32,9,0,3,18,14,7,0,33,3,0,1,4,2,1,0.212560386,9774
2018,Jason Kipnis,CLE,87,370,325,72,45,18,0,9,39,39,40,1,73,3,1,1,3,4,1,0.221538461,9776
2018,Nolan Arenado,COL,90,395,343,107,61,21,2,23,63,68,49,4,72,0,3,0,9,2,1,0.311953352,9777
2018,Kyle Seager,SEA,96,401,373,87,48,23,0,16,42,56,22,1,88,4,2,0,4,1,1,0.233243967,9785
2018,Brian Dozier,MIN,93,414,366,84,47,19,2,16,60,48,43,1,81,3,2,0,5,5,3,0.229508196,9810
2018,Andrew McCutchen,SFG,94,409,352,92,59,22,2,9,49,40,47,0,89,5,5,0,11,8,4,0.261363636,9847
2018,DJ LeMahieu,COL,71,329,300,84,54,22,0,8,52,34,23,0,46,0,5,1,8,5,3,0.28,9874
2018,Jay Bruce,NYM,62,236,212,45,29,12,1,3,17,17,24,3,48,0,0,0,2,2,1,0.21226415,9892
2018,Brett Gardner,NYY,81,368,315,80,54,14,3,9,55,33,43,0,55,3,4,3,5,9,1,0.253968253,9927
2018,Chris Owings,ARI,80,255,232,45,30,12,0,3,27,18,19,4,67,2,2,0,3,7,3,0.193965517,10030
2018,Max Stassi,HOU,55,182,162,41,22,12,0,7,22,24,16,0,56,4,0,0,3,0,0,0.253086419,10059
2018,Jonathan Villar,MIL,85,279,257,67,50,10,1,6,26,22,19,0,80,2,1,0,9,14,2,0.260700389,10071
2018,Mike Trout,LAA,97,428,335,104,58,18,3,25,71,50,84,17,83,6,2,0,5,15,1,0.310447761,10155
2018,Billy Hamilton,CIN,89,332,296,68,53,7,5,3,53,19,34,0,85,1,1,0,1,22,4,0.229729729,10199
2018,Tucker Barnhart,CIN,79,327,285,71,52,13,1,5,31,29,34,1,59,2,3,3,8,0,3,0.249122807,10200
2018,Jose Iglesias,DET,91,343,320,85,58,22,3,2,29,34,13,0,34,6,2,2,8,12,5,0.265625,10231
2018,Randal Grichuk,TOR,57,220,199,41,19,11,0,11,28,28,15,0,57,4,2,0,4,3,0,0.20603015,10243
2018,Brandon Belt,SFG,81,345,296,85,55,16,1,13,43,42,42,6,69,5,2,0,2,2,0,0.287162162,10264
2018,Marcell Ozuna,STL,90,377,351,94,74,9,1,10,38,49,21,0,73,1,3,0,7,2,0,0.267806267,10324
2018,Scooter Gennett,CIN,92,389,353,115,78,21,0,16,59,63,26,3,74,3,4,3,9,2,1,0.325779036,10339
2018,Domingo Santana,MIL,61,211,189,47,33,11,0,3,15,17,18,1,69,1,3,0,3,1,1,0.248677248,10348
