Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,Jorge Polanco,MIN,151,644,588,158,88,35,2,33,97,98,45,0,118,5,6,0,4,11,6,0.268707482,13152
2021,Mike Zunino,TBR,105,375,333,72,26,11,2,33,64,62,34,0,132,7,1,0,7,0,0,0.216216216,13265
2021,Max Muncy,LAD,143,592,497,124,60,26,2,36,95,94,83,5,120,11,1,0,7,2,1,0.249496981,13301
2021,Omar Narvaez,MIL,123,445,391,104,73,20,0,11,54,49,41,3,84,7,6,0,13,0,0,0.265984654,13338
2021,Tyler Naquin,CIN,126,454,411,111,66,24,2,19,52,70,35,1,106,5,3,0,9,5,3,0.270072992,13359
2021,Stephen Piscotty,OAK,68,188,173,38,25,8,0,5,14,16,13,0,48,2,0,0,2,1,0,0.219653179,13367
2021,Erik Gonzalez,PIT,71,229,220,51,41,7,1,2,17,21,8,0,40,0,1,0,4,2,2,0.231818181,13369
2021,Christian Walker,ARI,115,445,401,98,64,23,1,10,55,46,38,1,106,4,2,0,8,0,0,0.244389027,13419
2021,Tom Murphy,SEA,97,325,277,56,37,8,0,11,35,34,40,0,99,2,3,0,8,0,0,0.202166064,13499
2021,Jose Ramirez,CLE,152,636,552,147,74,32,5,36,111,103,72,10,87,7,5,0,13,27,4,0.266304347,13510
2021,Jesse Winker,CIN,110,485,423,129,72,32,1,24,77,71,53,1,75,9,0,0,14,1,0,0.304964539,13590
2021,Patrick Wisdom,CHC,106,375,338,78,37,13,0,28,54,61,32,1,153,4,0,0,7,4,1,0.23076923,13602
2021,Mookie Betts,LAD,121,550,466,123,68,29,3,23,93,58,68,2,86,11,5,0,5,10,5,0.263948497,13611
2021,Ketel Marte,ARI,90,374,340,108,64,29,1,14,52,50,31,3,60,2,1,0,8,2,0,0.317647058,13613
2021,Carson Kelly,ARI,97,359,304,73,48,11,1,13,41,46,44,1,74,6,5,0,10,0,0,0.240131578,13620
2021,Jeimer Candelario,DET,149,626,557,151,90,42,3,16,75,67,65,1,135,4,0,0,10,0,0,0.271095152,13621
2021,Corey Seager,LAD,95,409,353,108,67,22,3,16,54,57,48,2,66,5,3,0,8,1,1,0.305949008,13624
2021,Tyrone Taylor,MIL,92,271,243,60,36,9,3,12,33,43,20,1,59,7,1,0,6,6,1,0.24691358,13675
2021,Jacob Stallings,PIT,112,427,374,92,63,20,1,8,38,53,49,0,85,2,2,0,10,0,0,0.245989304,13723
2021,David Dahl,TEX,62,220,205,43,28,11,0,4,19,18,10,0,59,1,3,1,3,2,1,0.209756097,13744
2021,Chris Taylor,LAD,146,582,507,129,80,25,4,20,92,73,63,2,167,8,3,1,5,13,1,0.254437869,13757
2021,Matt Duffy,CHC,97,322,289,83,66,12,0,5,45,30,25,0,63,7,1,0,16,8,1,0.287197231,13836
2021,Joey Wendle,TBR,133,501,460,122,76,31,4,11,73,54,28,4,113,10,3,0,9,8,6,0.265217391,13853
2021,Eric Haase,DET,98,381,351,81,46,12,1,22,48,61,26,0,119,2,2,0,11,2,0,0.23076923,14111
2021,Joey Gallo,2 Tms,150,616,498,99,47,13,1,38,90,77,111,5,213,6,1,0,6,6,0,0.19879518,14128
2021,Daniel Vogelbach,MIL,92,258,215,47,30,8,0,9,30,24,43,1,57,0,0,0,6,0,0,0.218604651,14130
2021,Byron Buxton,MIN,61,254,235,72,30,23,0,19,50,32,13,0,62,6,0,0,0,9,1,0.306382978,14161
